Final_Name,Name_sul07,z,z_src,r_z_sul07,CIV_blue_tvm,CIV_EW_tvm,CIVgood_tvm,CIV_blue_sul07,CIV_EW_sul07,F1450_spec (erg/s/cm2/A),S2N_1450A,Inst_final,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,logEddRatio,EddRatio_Source,SDSS_NAME,PLATE,MJD,FIBERID,IAU_sul07,Hbeta_FWHM_sul07,RFeII_sul07,_RA,_DE
J21377-1432,[HB89] 2135-147,0.2004,Sul,M03,-78.7812685546023,151.943941629687,1,-131.0,187.83783783783784,4.06893230146928E-15,8.03978002682082,FOS,,,,,,,,,,,J21377-1432,9789,0.11,324.4382625,-14.5487277777778
J11594+2106,[HB89] 1156+213,0.349,Sul,HB89,818.132534785861,84.1607537154535,1,614.0,140.00000000000003,2.4247525886144902E-15,10.8074080870932,FOS,,,,,,,115926.20+210655.8,2643.0,54208.0,296.0,J11594+2106,13000,0.17,179.8591875,21.1154966666667
J22463-1206,[HB89] 2243-123,0.6255,Sul,M03,-286.141157033345,48.1259576345284,1,-451.0,68.83116883116881,3.2314057405024702E-15,14.3084704481948,FOS,,,,,,,,,,,J22463-1206,4472,0.14,341.5759875,-12.1142477777778
J14467+4035,[HB89] 1444+407,0.267,Sul,M03,1299.95869582056,12.8345315897123,1,1143.0,23.24561403508772,1.3454994847645601E-14,13.7930392069556,FOS,,,,,,,144645.93+403505.7,1397.0,53119.0,190.0,J14467+4035,3101,1.2,221.691423888889,40.5849530555556
PG1307+085,PG 1307+085,0.1546,Sul,M03,-424.458528022291,64.0070953294598,1,-312.0,97.14285714285714,9.832046877344861E-15,5.89616474076281,FOS,8.5368580535686,0.09373664325906,0.16119497330454,Bentz & Katz 2015,-1.69841683007412,Spectra 1450A,130947.00+081948.2,1795.0,54507.0,457.0,J13097+0819,5616,0.1,197.445841666667,8.33006111111111
MR2251-178,MR 2251-178,0.0638,Sul,M03,473.481426026803,208.073682233763,1,321.0,281.59999999999997,2.7845190361364102E-14,64.8653111216693,HSLA,,,,,,,,,,,J22540-1734,7176,0.09,343.525,-17.582
J04232-0120,[HB89] 0420-014,0.915,Sul,WL78,-9.68066706248958,57.2771034656896,1,-181.0,87.5,3.78851677984876E-16,17.908756231956,FOS,,,,,,,,,,,J04232-0120,3185,0.02,65.8158363888889,-1.34251805555556
J132059.41+295728.1,,0.206057116389275,DR16,,-1047.68051217183,25.2576261904918,0,,,6.22939990107409E-16,2.16341965120861,HSLA,,,,,,,132059.42+295728.1,11401.0,58491.0,331.0,,,,200.248,29.9578
LBQS1132-0302,LBQS 1132-0302,0.236,Sul,W00,1162.37705552831,19.0810325740692,1,1408.0,36.11111111111111,1.5335358299698202E-15,9.90950146446515,FOS,,,,,,,,,,,J11350-0318,2600,1.3,173.770458333333,-3.31430555555556
PG1322+659,PG 1322+659,0.1674,Sul,M03,542.446498180031,58.74363571202,1,310.0,65.83333333333334,6.74913945471463E-15,30.1062536972024,FOS,,,,,,,,,,,J13238+6541,3114,0.34,200.9561975,65.6967272222222
3C095,3C 095,0.616,Sul,M03,-147.881870046715,27.9359258273506,1,78.0,51.26903553299492,6.833726016758871E-15,14.1902562071281,FOS,,,,,,,,,,,J03514-1429,9516,0.22,57.8690833333333,-14.4856111111111
FBQSJ074541.6+314256,FBQS J074541.6+314256,0.4611,Sul,M03,128.443090585211,116.511509701595,1,-258.0,105.46875,2.635873494365E-15,12.0057090549169,FOS,,,,,,,074541.66+314256.6,755.0,52235.0,46.0,J07456+3142,7800,0.09,116.423631111111,31.7157269444444
J14052+2555,FBQS J140516.1+255534,0.1633,Sul,M03,542.446498180031,16.2040044733816,1,719.0,44.98269896193771,1.7706791790093202E-14,9.20799507362585,FOS,,,,,,,,,,,J14052+2555,2041,0.84,211.317588055556,25.9261522222222
3C334,3C 334,0.5556,Sul,M03,266.508764230596,66.2419592474425,1,67.0,75.57251908396947,3.32543260951777E-15,13.7550480048164,FOS,,,,,,,162021.81+173623.9,2969.0,54586.0,180.0,J16203+1736,11219,0.09,245.090910555556,17.6066530555556
MRK-1018,,0.04261,DR7,,-286.141157033345,221.311072590683,1,,,5.39172237488621E-16,6.71389436402424,HSLA,,,,,,,,,,,,,,31.5666,-0.291439
J15147+3650,[HB89] 1512+370,0.371,Sul,M03,680.318558484126,67.0178246955285,1,622.0,91.02564102564102,6.2513634128760804E-15,10.1608208842011,FOS,,,,,,,151443.06+365050.4,10743.0,58222.0,410.0,J15147+3650,10485,0.15,228.679454166667,36.8473366666667
MRK-1044,,0.0161,https://arxiv.org/pdf/1710.10703.pdf,,335.512559052064,45.8089835823853,1,,,2.50536012589817E-14,47.390490594934,HSLA,,,,,,,,,,,,,,37.523,-8.99814
MRK-1253,,0.049986,NED,,404.496992539456,136.18498293926,1,,,4.0113710718499105E-15,16.7694058940517,HSLA,,,,,,,,,,,,,,154.887,-3.3375
MRK-231,,0.04147,,,2535.40542633657,7.25454117788086,1,,,1.47948718107139E-15,18.1358895714891,HSLA,,,,,,,,,,,,,,194.059,56.8735
MRK-279,,0.030451,NED,,680.318558484126,310.500088008205,1,,,3.782235157062051E-15,14.0385140890768,HSLA,7.4348100594031,0.099307538851625,0.13286788915097,Bentz & Katz 2015,-1.48496369442234,Spectra 1450A,,,,,,,,208.264,69.3082
MRK106,,0.123366,DR16,,-1880.64382889745,50.4230228982545,0,,,8.148317793355281E-15,33.8862342961016,HSLA,,,,,,,091955.34+552137.1,451.0,51908.0,133.0,,,,139.981,55.3604
MRK1148,,0.064,https://arxiv.org/pdf/1710.10703.pdf,,-424.458528022291,107.584734885395,1,,,1.14006947583432E-14,36.9821876282796,HSLA,,,,,,,,,,,,,,12.9782,17.4329
MRK1179,,0.037599,NED,,542.446498180031,190.227978787693,1,,,2.0632861581371203E-15,13.5103321949362,HSLA,,,,,,,,,,,,,,38.343,27.937
LBQS0017+0209,LBQS 0017+0209,0.401,Sul,F89,1918.32098510471,14.9417377136714,1,2144.0,27.27272727272727,1.2485556811412602E-15,12.3953157894967,FOS,,,,,,,002025.06+022625.5,7854.0,56989.0,610.0,J00204+0226,2535,1.07,5.10444833333333,2.44041833333333
MRK1392,,0.0359,https://arxiv.org/pdf/1710.10703.pdf,,128.443090585211,60.1012329571048,1,,,1.67759018570134E-14,52.0656697770555,HSLA,,,,,,,,,,,,,,226.486,3.70728
3C263,3C 263,0.6465,Sul,M03,197.485608074964,55.422020401054,1,210.0,79.67032967032965,5.12346655293758E-15,10.6200119706119,FOS,,,,,,,,,,,J11399+6547,5012,0.85,174.987601388889,65.7970883333333
